step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
375;3;625282516;375;104;1003;1018;11.91;0.73;125.98;4.17;628;3;303.00;15
377;3;625282526;377;112;1005;1018;11.84;0.73;126.34;4.20;628;3;304.00;13
380;3;625282535;380;121;1007;1018;11.77;0.72;127.22;4.20;627;3;305.00;11
381;3;625282544;381;128;1010;1021;11.69;0.72;127.30;4.21;629;3;306.00;11
383;3;625282554;383;130;1012;1021;11.64;0.71;127.66;4.21;629;3;307.00;9
384;3;625282564;384;136;1012;1021;11.55;0.71;127.94;4.21;628;3;308.00;9
385;3;625282573;385;142;1015;1025;11.42;0.70;128.03;4.20;630;3;309.00;10
387;3;625282582;387;144;1016;1026;11.34;0.70;128.21;4.20;629;3;310.00;10
391;3;625282592;391;150;1016;1026;11.24;0.69;129.11;4.20;625;3;311.00;10
395;3;625282600;395;157;1020;1030;11.13;0.68;130.23;4.20;625;3;312.00;10
396;3;625282609;396;158;1022;1030;11.01;0.67;130.63;4.20;626;3;313.00;8
397;3;625282618;397;159;1022;1030;10.88;0.67;130.72;4.20;625;3;314.00;8
